FORWARD_TEXT_FORMAT_1.0
STDEP =   208.0410
ENDEP =  2542.0400
RLEV  =     0.1250
CURVENAME =  AC, CAL, GR, R4_0, RILD, RILM, RLL8, RT
END
#DEPTH            AC        CAL         GR       R4_0       RILD       RILM       RLL8         RT
 215.5410     530.179 -99999.000     46.957     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 215.6660     486.552 -99999.000     50.897     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 215.7910     445.247 -99999.000     52.488     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 215.9160     433.531 -99999.000     49.887     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 216.0410     459.052 -99999.000     48.059     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 216.1660     501.457 -99999.000     48.354     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 216.2910     531.659 -99999.000     48.195     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 216.4160     541.179 -99999.000     49.703     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 216.5410     531.183 -99999.000     52.546     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 216.6660     505.459 -99999.000     53.619     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 216.7910     475.640 -99999.000     51.985     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 216.9160     448.022 -99999.000     49.945     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 217.0410     422.353 -99999.000     50.322     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 217.1660     395.245 -99999.000     51.613     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 217.2910     368.770 -99999.000     50.399     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 217.4160     349.133 -99999.000     47.460     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 217.5410     341.743 -99999.000     45.893     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 217.6660     346.193 -99999.000     48.789     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 217.7910     351.873 -99999.000     54.035     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 217.9160     354.491 -99999.000     59.020     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 218.0410     358.106 -99999.000     62.158     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 218.1660     371.247 -99999.000     61.505     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 218.2910     392.327 -99999.000     61.781     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 218.4160     416.648 -99999.000     63.942     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 218.5410     440.083 -99999.000     66.219     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 218.6660     453.204 -99999.000     64.276     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 218.7910     446.650 -99999.000     61.955     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 218.9160     422.559 -99999.000     61.056     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 219.0410     402.221 -99999.000     60.533     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 219.1660     416.342 -24982.373     58.803     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 219.2910     456.654     23.168     53.716     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 219.4160     498.000     23.168     48.630     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 219.5410     519.467     23.168     46.377     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 219.6660     512.088     23.168     47.909     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 219.7910     483.097     23.168     49.133     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 219.9160     434.542     23.168     48.035     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 220.0410     372.292     23.168     43.843     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 220.1660     313.643     23.168     44.177     -0.514 -99999.000 -99999.000 -99999.000  -9999.000
 220.2910     278.745     23.168     47.566     -0.514 -99999.000 -48999.500 -99999.000  -9999.000
 220.4160     275.640     23.198     49.476     -0.514 -99999.000   2000.000 -99999.000  -9999.000
 220.5410     295.071     23.208     46.454     -0.514 -99999.000   2000.000 -99999.000  -9999.000
 220.6660     316.379     23.205     40.038     -0.514 -99999.000   2000.000 -99999.000  -9999.000
 220.7910     329.446     23.216     36.020     -0.514 -99999.000   2000.000 -99999.000  -9999.000
 220.9160     337.277     23.242     36.339     -0.514 -99999.000   2000.000 -99999.000  -9999.000
 221.0410     340.710     23.302     38.138     -0.514 -99999.000   2000.000 -99999.000  -9999.000
 221.1660     337.336     23.320     38.960     -0.514 -99999.000   2000.000 -99999.000  -9999.000
 221.2910     334.311     23.300     39.008     -0.514 -49980.449   2000.000 -99999.000  -9999.000
 221.4160     336.478     23.250     40.145     -0.514     38.103   2000.000 -99999.000  -9999.000
 221.5410     335.913     23.226     41.522     -0.514     38.812   2000.000 -99999.000  -9999.000
 221.6660     314.879     23.244     41.058     -0.514     39.660   2000.000 -99999.000  -9999.000
 221.7910     280.727     23.297     37.838     -0.514     40.462   2000.000 -99999.000  -9999.000
 221.9160     257.022     23.281     35.285     -0.514     40.948   2000.000 -99999.000  -9999.000
 222.0410     263.047     23.237     35.005     -0.514     41.094   2000.000      0.419  -9999.000
 222.1660     295.541     23.202     36.610     -0.514     41.410   2000.000      0.419  -9999.000
 222.2910     328.229     23.186     38.302     -0.514     42.145   2000.000      0.419  -9999.000
 222.4160     351.622     23.194     39.124     -0.514     43.129   2000.000      0.419  -9999.000
 222.5410     365.584     23.180     39.879     -0.514     43.784   2000.000      0.419  -9999.000
